Population;City_origin;Country_origin;Latitude_origin;Longitude_origin;departure_iataCode;iso_code;GDP;two_letter_code
72000.0;Larnaca;Cyprus;34.875099182128906;33.62490081787109;LCA;CYP;25008448886.3507;CY
504971.0;Leipzig;Germany;51.423889;12.236389;LEJ;DEU;3889668895299.62;DE
234475.0;Lille;France;50.563332;3.086886;LIL;FRA;2639008701648.26;FR
1371498.0;Milan;Italy;45.445099;9.27674;LIN;ITA;1896755301518.14;IT
272220.0;Ljubljana;Slovenia;46.223701;14.4576;LJU;SVN;53706800043.6842;SI
73406;Lulea;Sweden;65.543800354004;22.121999740601;LLA;SWE;547054174235.876;SE
165000;Linkoeping;Sweden;58.406200408900006;15.6805000305;LPI;SWE;547054174235.876;SE
533280;Malta;Malta;35.857498;14.4775;MLA;MLT;14933066818.9606;MT
393000;Teesside;United Kingdom;54.50920104980469;-1.4294099807739258;MME;GBR;2704609160088.15;GB
248252.0;Montpellier;France;43.57619857788086;3.96301007270813;MPL;FRA;2639008701648.26;FR
2200000;Minsk;Belarus;53.882499694824;28.030700683594;MSQ;BLR;61371126414.1663;BY
338620.0;Nice;France;43.658401489300005;7.215869903560001;NCE;FRA;2639008701648.26;FR
318808.0;Nantes;France;47.15319824220001;-1.61073005199;NTE;FRA;2639008701648.26;FR
512000;Nuernberg;Germany;49.498699;11.078056;NUE;DEU;3889668895299.62;DE
143135.0;Norwich;United Kingdom;52.675800323500006;1.28278005123;NWI;GBR;2704609160088.15;GB
60345.0;Olbia;Italy;40.898701;9.51763;OLB;ITA;1896755301518.14;IT
529500;Poznan;Poland;52.4210014343;16.8262996674;POZ;POL;599449188399.108;PL
220488.0;Rennes;France;48.0694999695;-1.73478996754;RNS;FRA;2639008701648.26;FR
14804116.0;Istanbul;Turkey;40.898601532;29.3092002869;SAW;TUR;720289368333.191;TR
71860;Skelleftea;Sweden;64.62480163574219;21.07690048217773;SFT;SWE;547054174235.876;SE
814000;Thessaloniki;Greece;40.51969909667969;22.97089958190918;SKG;GRC;188925995936.807;GR
1152556.0;Sofia;Bulgaria;42.69669342041016;23.411436080932614;SOF;BGR;70240275010.1964;BG
246201.0;Southampton;United Kingdom;50.95029830932617;-1.3567999601364136;SOU;GBR;2704609160088.15;GB
274845.0;Strasbourg;France;48.53829956054688;7.628230094909668;SXB;FRA;2639008701648.26;FR
153377.0;Salzburg;Austria;47.7933006287;13.0043001175;SZG;AUT;435225238000.437;AT
1049498.0;Tbilisi;Georgia;41.6692008972;44.95470047;TBS;GEO;15842922532.7202;GE
462000;Tallinn-ulemiste International;Estonia;59.41329956049999;24.8327999115;TLL;EST;31370395572.7658;EE
493465.0;Toulouse;France;43.629101;1.36382;TLS;FRA;2639008701648.26;FR
147139.0;Trondheim;Norway;63.45780179999999;10.9239998;TRD;NOR;362198318435.26;NO
258685.0;Venice;Italy;45.505299;Dec.19;VCE;ITA;1896755301518.14;IT
542366.0;Vilnius;Lithuania;54.634102;25.285801;VNO;LTU;56846622904.4391;LT
1168.0;Villafranca;Italy;45.395699;Oct.85;VRN;ITA;1896755301518.14;IT
1702139.0;Warsaw;Poland;52.1656990051;20.9671001434;WAW;POL;599449188399.108;PL
674320;Wroclaw;Poland;51.10269927979999;16.885799408;WRO;POL;599449188399.108;PL
6480;Altenrhein;Switzerland;47.4850006104;9.560770034789998;ACH;CHE;739913619797.445;CH
4680;Vagar;Faroe Islands;62.0635986328125;-7.277219772338867;FAE;FRO;3248696901.60652;FO
158552.0;Grenoble;France;45.36289978027344;5.329370021820068;GNB;FRA;2639008701648.26;FR
317000;Iasi;Romania;47.17850112915039;27.6205997467041;IAS;ROU;251362040527.804;RO
3010000;Kiev;Ukraine;50.40194;30.451940000000004;IEV;UKR;156617861448.576;UA
144700;Joenkoeping;Sweden;57.75759887695313;14.068699836730955;JKG;SWE;547054174235.876;SE
357400;Malmoe;Sweden;55.53630536399999;13.3761978149;MMX;SWE;547054174235.876;SE
8156.0;Laage;Germany;53.9182014465;12.2783002853;RLG;DEU;3889668895299.62;DE
423737.0;Bratislava;Slovakia;48.17020034790039;17.212699890136722;BTS;SVK;106696828625.55;SK
71000;Kalkmar;Sweden;56.68550109863281;16.287599563598633;KLR;SWE;547054174235.876;SE
2176.0;Karup;Denmark;56.29750061035156;9.124629974365234;KRP;DNK;355222449505.211;DK
18207.0;Palanga;Lithuania;55.97320175170898;21.093900680541992;PLQ;LTU;56846622904.4391;LT
14000;Ronne;Denmark;55.06330108642578;14.759599685668944;RNN;DNK;355222449505.211;DK
57606.0;Sundsvall;Sweden;62.528099060058594;17.443899154663086;SDL;SWE;547054174235.876;SE
27800;Soenderborg;Denmark;54.96440124511719;9.791729927062988;SGD;DNK;355222449505.211;DK
696731.0;Sarajevo;Bosnia and Herzegovina;43.82460021972656;18.331499099731445;SJJ;BIH;19950471170.6465;BA
474889.0;Skopje;Macedonia;41.961601;21.621401;SKP;MKD;12363580534.6811;MK
17746.0;Munster;Germany;52.134601593;7.68483018875;FMO;DEU;3889668895299.62;DE
317316.0;Katowice;Poland;50.4743;19.Aug;KTW;POL;599449188399.108;PL
176497;Saarbruecken;Germany;49.2145996094;7.10950994492;SCN;DEU;3889668895299.62;DE
52800;Bodo;Norway;67.26920318603516;14.365300178527832;BOO;NOR;362198318435.26;NO
299000;San Sebastian;Spain;43.35649871826172;-1.7906099557876587;EAS;ESP;1276962685648.25;ES
58403.0;Friedrichshafen;Germany;47.6712989807;9.511489868160002;FDH;DEU;3889668895299.62;DE
234325.0;Granada;Spain;37.18870162963867;-3.777359962463379;GRX;ESP;1276962685648.25;ES
61492.0;Karlstad;Sweden;59.4446983337;13.3374004364;KSD;SWE;547054174235.876;SE
121557.0;Kuopio;Finland;63.007099151611;27.797800064087;KUO;FIN;271891788362.647;FI
243400;La Coruna;Spain;43.302101;-8.37726;LCG;ESP;1276962685648.25;ES
204846.0;Linz;Austria;48.2332;14.1875;LNZ;AUT;435225238000.437;AT
31967.0;Molde;Norway;62.744701385498;7.262499809265099;MOL;NOR;362198318435.26;NO
128000;Norrkoeping;Sweden;58.58629989624024;16.250600814819336;NRK;SWE;547054174235.876;SE
209672.0;Pamplona;Spain;42.77000045776367;-1.6463299989700315;PNA;ESP;1276962685648.25;ES
195301.0;Turku;Finland;60.514099121094;22.262800216675;TKU;FIN;271891788362.647;FI
67631.0;Vaasa;Finland;63.050701141357;21.762199401855;VAA;FIN;271891788362.647;FI
297332.0;Vigo;Spain;42.2318000793457;-8.62677001953125;VGO;ESP;1276962685648.25;ES
675301.0;Zaragoza;Spain;41.66619873046875;-1.0415500402450562;ZAZ;ESP;1276962685648.25;ES
15094.0;Alta;Norway;69.976097106934;23.371700286865;ALF;NOR;362198318435.26;NO
2600;Bardufoss;Norway;69.055801391602;18.540399551392;BDU;NOR;362198318435.26;NO
1515017.0;Stockholm;Sweden;59.35440063476562;17.941699981689453;BMA;SWE;547054174235.876;SE
28000;Harstad/Narvik;Norway;68.491302490234;16.678100585938;EVE;NOR;362198318435.26;NO
8940;Floro;Norway;61.583599090576;5.0247201919556;FRO;NOR;362198318435.26;NO
40321.0;Haugesund;Norway;59.34529876709001;5.208360195159901;HAU;NOR;362198318435.26;NO
15000;Orsta-Volda;Norway;62.180000305176;6.074100017547599;HOV;NOR;362198318435.26;NO
3529.0;Kirkenes;Norway;69.725799560547;29.891300201416;KKN;NOR;362198318435.26;NO
24013.0;Kristiansund;Norway;63.111801147461;7.824520111083999;KSU;NOR;362198318435.26;NO
2283.0;Lakselv;Norway;70.068801879883;24.973499298096;LKL;NOR;362198318435.26;NO
5200;Orland;Norway;63.69889831542969;9.604000091552734;OLA;NOR;362198318435.26;NO
213200;Pristina;Serbia;42.5728;21.035801;PRN;SRB;53356480453.8048;RS
3800;Roros;Norway;62.57839965820301;11.342300415039;RRS;NOR;362198318435.26;NO
2447.0;Sandane;Norway;61.830001831055;6.1058301925659;SDN;NOR;362198318435.26;NO
6700.0;Sogndal;Norway;61.156101;7.13778;SOG;NOR;362198318435.26;NO
18100;Stord;Norway;59.79190063476562;5.340849876403809;SRP;NOR;362198318435.26;NO
77544;Tromso;Norway;69.68329620361328;18.91889953613281;TOS;NOR;362198318435.26;NO
89994.0;Ancona;Italy;43.616299;13.3623;AOI;ITA;1896755301518.14;IT
87141.0;Brindisi;Italy;40.6576;17.947001;BDS;ITA;1896755301518.14;IT
83000;Biarritz-bayonne;France;43.4683333;-1.5311111000000002;BIQ;FRA;2639008701648.26;FR
379466.0;Brno;Czech Republic;49.15129852294922;16.694400787353516;BRQ;CZE;245974558654.043;CZ
366452.0;Bydgoszcz;Poland;53.0968017578;17.9776992798;BZG;POL;599449188399.108;PL
149257.0;Cagliari;Italy;39.251499;9.05428;CAG;ITA;1896755301518.14;IT
49600.0;Carcassonne;France;43.21599960327149;2.3063199520111084;CCF;FRA;2639008701648.26;FR
2318895.0;Rome;Italy;41.7994;Dec.49;CIA;ITA;1896755301518.14;IT
588462.0;Dortmund;Germany;51.51829910279999;7.61223983765;DTM;DEU;3889668895299.62;DE
28317.0;Bergerac;France;44.82529830932617;0.5186110138893127;EGC;FRA;2639008701648.26;FR
103370;Gerona;Spain;41.901000977;2.7605500221;GRO;ESP;1276962685648.25;ES
40000;Kerry;Ireland;52.18090057373047;-9.52377986907959;KIR;IRL;425852281928.121;IE
635994.0;Chisinau;Moldova;46.92770004272461;28.93099975585937;KIV;MDA;11859730543.5525;MD
230000;Kosice;Slovakia;48.66310119628906;21.241100311279297;KSC;SVK;106696828625.55;SK
670640;Lodz;Poland;51.7219009399;19.3980998993;LCJ;POL;599449188399.108;PL
52106.0;Tarbes;France;43.1786994934082;-0.0064389999024569;LDE;FRA;2639008701648.26;FR
25800;Londonderry;United Kingdom;55.04280090332031;-7.161109924316406;LDY;GBR;2704609160088.15;GB
141176.0;Limoges;France;45.86280059814453;1.1794400215148926;LIG;FRA;2639008701648.26;FR
76810.0;La Rochelle;France;46.17919921875;-1.1952799558639526;LRH;FRA;2639008701648.26;FR
721000;Lvov;Ukraine;49.8125;23.95610046386719;LWO;UKR;156617861448.576;UA
20300;Newquai;United Kingdom;50.44060134887695;-4.995409965515137;NQY;GBR;2704609160088.15;GB
206614.0;Oradea;Romania;47.02529907226562;21.90250015258789;OMR;ROU;251362040527.804;RO
279791.0;Ostrava;Czech Republic;49.6963005065918;18.111099243164062;OSR;CZE;245974558654.043;CZ
35961.0;Paphos;Cyprus;34.71799850463867;32.48569869995117;PFO;CYP;25008448886.3507;CY
85960.0;Poitiers;France;46.58769989013672;0.3066659867763519;PIS;FRA;2639008701648.26;FR
648260.0;Palermo;Italy;38.175999;13.091;PMO;ITA;1896755301518.14;IT
119554.0;Pescara;Italy;42.431702;14.1811;PSR;ITA;1896755301518.14;IT
194775;Rzeszow;Poland;50.1100006104;22.0189990997;RZE;POL;599449188399.108;PL
70600;Lamezia;Italy;38.905399;16.2423;SUF;ITA;1896755301518.14;IT
10000;Szczytno-Szymany;Poland;53.481899;20.9377;SZY;POL;599449188399.108;PL
407811.0;Szczecin;Poland;53.584701538100006;14.9021997452;SZZ;POL;599449188399.108;PL
236852.0;Podgorica;Montenegro;42.359402;19.2519;TGD;MNE;4769860740.74074;ME
244315.0;Tampere;Finland;61.414100646973;23.604400634766;TMP;FIN;271891788362.647;FI
11800;Ronchi De Legionari;Italy;45.827499;13.4722;TRS;ITA;1896755301518.14;IT
141621.0;Tours;France;47.4322013855;0.727605998516;TUF;FRA;2639008701648.26;FR
142161.0;Paderborn;Germany;51.6141014099;8.616319656369999;PAD;DEU;3889668895299.62;DE
57431.0;Poprad;Slovakia;49.073600769;20.2411003113;TAT;SVK;106696828625.55;SK
677000;Hahn;Germany;49.9487;7.263889999999999;HHN;DEU;3889668895299.62;DE
103260;Jersey;Jersey;49.20790100097656;-2.195509910583496;JER;JEY;5841833610;JE
53600.0;Anapa;Russia;45.002101898193;37.347301483154;AAQ;RUS;1489362488439.76;RU
348780;Arkhangelsk;Russia;64.60030364990234;40.71670150756836;ARH;RUS;1489362488439.76;RU
533925.0;Astrakhan;Russia;46.2832984924;48.0063018799;ASF;RUS;1489362488439.76;RU
315738.0;Cherepovets;Russia;59.273601532;38.0158004761;CEE;RUS;1489362488439.76;RU
345289.0;Belgorod;Russia;50.643798828125;36.5900993347168;EGO;RUS;1489362488439.76;RU
106971.0;Elista;Russia;46.3739013671875;44.33089828491211;ESL;RUS;1489362488439.76;RU
1093485.0;Yerevan;Armenia;40.1473007202;44.3959007263;EVN;ARM;12641697523.2966;AM
1259013.0;Nizhniy Novgorod;Russia;56.23009872436499;43.784000396729;GOJ;RUS;1489362488439.76;RU
608722.0;Yaroslavl;Russia;57.56069946289063;40.15739822387695;IAR;RUS;1489362488439.76;RU
406113.0;Ivanovo;Russia;56.93939971923828;40.94079971313477;IWA;RUS;1489362488439.76;RU
340851.0;Kaluga;Russia;54.5499992371;36.3666687012;KLF;RUS;1489362488439.76;RU
899541.0;Krasnodar;Russia;45.034698486328;39.170501708984;KRR;RUS;1489362488439.76;RU
507155.0;Kirov;Russia;58.50329971313501;49.348300933838;KVX;RUS;1489362488439.76;RU
39319.0;Kirov;Russia;58.50329971313501;49.348300933838;KVX;RUS;1489362488439.76;RU
1243500.0;Kazan;Russia;55.606201171875;49.278701782227;KZN;RUS;1489362488439.76;RU
596356.0;Makhachkala;Russia;42.81679916381836;47.65230178833008;MCX;RUS;1489362488439.76;RU
295374.0;Murmansk;Russia;68.78170013427734;32.75080108642578;MMK;RUS;1489362488439.76;RU
76280.0;Mineralnye Vody;Russia;44.22510147094727;43.08190155029297;MRV;RUS;1489362488439.76;RU
35604.0;Beslan;Russia;43.2051010132;44.606601715100005;OGZ;RUS;1489362488439.76;RU
523553.0;Penza;Russia;53.11059951782226;45.02109909057617;PEZ;RUS;1489362488439.76;RU
210501.0;Pskov;Russia;57.78390121459961;28.39559936523437;PKV;RUS;1489362488439.76;RU
31039.0;Rostov;Russia;47.493888;39.924722;ROV;RUS;1489362488439.76;RU
336460.0;Simferopol;Ukraine;45.05220031738281;33.975101470947266;SIP;UKR;156617861448.576;UA
318841.0;Saransk;Russia;54.12512969970703;45.21225738525391;SKX;RUS;1489362488439.76;RU
626540.0;Ulyanovsk;Russia;54.26829910279999;48.226699829100006;ULV;RUS;1489362488439.76;RU
10381222.0;Moscow;Russia;55.5914993286;37.2615013123;VKO;RUS;1489362488439.76;RU
1013533.0;Volgograd;Russia;48.78250122070313;44.34550094604492;VOG;RUS;1489362488439.76;RU
1047549.0;Voronezh;Russia;51.81420135498047;39.22959899902344;VOZ;RUS;1489362488439.76;RU
327608.0;Sochi;Russia;43.449902;39.9566;AER;RUS;1489362488439.76;RU
475056.0;Kaliningrad;Russia;54.88999938964844;20.59259986877441;KGD;RUS;1489362488439.76;RU
61186.0;Apatity;Russia;67.46330261230469;33.58829879760742;KVK;RUS;1489362488439.76;RU
509735.0;Lipetsk;Russia;52.70280075073242;39.53779983520508;LPK;RUS;1489362488439.76;RU
